[02:53:04] Programm gestartet
[02:53:10] Einfüllen (+5 Liter)
[02:53:11] Einfüllen (+5 Liter)
[02:53:11] Einfüllen (+5 Liter)
[02:53:11] Einfüllen (+5 Liter)
[02:53:12] Verbrauch (1 Liter)
[02:53:12] Verbrauch (1 Liter)
[02:53:13] Verbrauch (1 Liter)
[02:53:13] Verbrauch (1 Liter)
[02:53:19] Einfüllen (+5 Liter)
[02:53:19] Einfüllen (+5 Liter)
[02:53:19] Einfüllen (+5 Liter)
[02:53:19] Einfüllen (+5 Liter)
[02:53:20] Einfüllen (+5 Liter)
[02:53:20] Einfüllen (+5 Liter)
[02:53:20] Einfüllen (+5 Liter)
[02:53:20] Einfüllen (+5 Liter)
[02:53:20] Einfüllen (+5 Liter)
[02:53:20] Einfüllen (+5 Liter)
[02:53:21] Einfüllen (+5 Liter)
[02:53:21] Einfüllen (+5 Liter)
[02:53:21] Einfüllen (+5 Liter)
[02:53:22] Verbrauch (4 Liter)
[02:53:22] Verbrauch (4 Liter)
[02:53:22] Verbrauch (4 Liter)
[02:53:22] Verbrauch (4 Liter)
[02:53:23] Verbrauch (4 Liter)
[02:53:23] Verbrauch (4 Liter)
[02:53:23] Verbrauch (4 Liter)
[02:53:23] Verbrauch (4 Liter)
[02:53:24] Tank zurückgesetzt
[02:53:25] Programm beendet
